ticker;country;industry;sector;EV/revenue;EV/ebitda;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;dividend_yield;dividend_rate;Grade
LOW;United States;Home Improvement Retail;Consumer Cyclical;1.0;-2.0;1.0;1.0;0.19900068135362253;2.0;2.0;0.13753562447611065;1.0;1.0;0.18139931740614335;2.0;2.0;0.1929883854370279;1.0;1.0;0.19355246176236374;2.0;2.0;0.17967230598189987;2.0;-2.0;0.17427848101265822;1.0;-1.0;0.19937602902588822;1.0;-1.0;0.19932199069876042;1.0;1.0;0.10249003015270888;0.0;2.0;0.1991878332305015;1.0;1.0;24.958803140537686
PAYX;United States;Software - Application;Technology;-1.0;-2.0;1.0;1.0;0.19682034976152624;2.0;2.0;0.18990779547359599;1.0;1.0;0.197413328543201;2.0;2.0;0.19899617892227955;1.0;1.0;0.198484224400692;2.0;2.0;0.1986175880231207;2.0;-2.0;0.18477637130801688;1.0;-1.0;0.19972244172792514;;;;1.0;1.0;0.19561326719190741;2.0;2.0;0.19218445166042714;1.0;1.0;24.952535997012692
LHX;United States;Aerospace & Defense;Industrials;1.0;0.0;1.0;-1.0;0.17796956620486035;2.0;2.0;0.1135959765297569;1.0;1.0;0.16328363571043653;2.0;2.0;0.18876123939114975;1.0;1.0;0.18952357415492765;2.0;2.0;0.1901862835353124;2.0;-2.0;0.15632067510548522;1.0;-1.0;0.19954370561698745;1.0;-1.0;0.19952108018074902;1.0;1.0;0.1696819375547126;0.0;2.0;0.19875749627797867;1.0;1.0;24.947145170262356
ADP;United States;Software - Application;Technology;-1.0;-2.0;1.0;1.0;0.1966386554621849;2.0;2.0;0.1878290025146689;1.0;1.0;0.19744027303754266;2.0;2.0;0.19950061162465166;1.0;1.0;0.1951341406485982;2.0;2.0;0.19527524989561484;2.0;-2.0;0.14129957805907173;1.0;-1.0;0.19945826190726773;;;;1.0;1.0;0.1825989689718899;2.0;2.0;0.1971856028855191;1.0;1.0;24.89236034500701
GLW;United States;Electronic Components;Technology;0.0;-2.0;1.0;1.0;0.15094253917783332;2.0;2.0;0.10933780385582564;1.0;1.0;0.12689958685108677;2.0;2.0;0.17145667553627503;1.0;1.0;0.16676057885053686;2.0;2.0;0.17088483421620565;2.0;-2.0;0.17383966244725738;1.0;-1.0;0.19829629880682054;1.0;0.0;0.1983228003352617;1.0;1.0;0.18905748468047856;0.0;2.0;0.19862410165522407;1.0;1.0;24.854422366412805
OKE;United States;Oil & Gas Midstream;Energy;0.0;-2.0;1.0;1.0;0.003361344537815142;2.0;2.0;0.03892707460184411;1.0;1.0;0.15723908747979165;2.0;2.0;0.18850145654942813;1.0;1.0;0.18549688332372244;2.0;2.0;0.18791445948597216;2.0;-2.0;0.1859240506329114;1.0;-1.0;0.1983824560339492;1.0;0.0;0.1984149482870863;1.0;1.0;0.1937651979379438;0.0;2.0;0.199351708688431;1.0;1.0;24.737278667558897
DRI;United States;Restaurants;Consumer Cyclical;1.0;0.0;1.0;1.0;0.1810129457188281;2.0;2.0;0.1736127409891031;1.0;1.0;0.18496497215735586;2.0;2.0;0.1979343480837863;1.0;1.0;0.1939193233929209;2.0;2.0;0.19460114798549175;;;;;;;;;;;;;0.0;2.0;0.19954999799252565;1.0;1.0;24.32559547632001
NVR;United States;Residential Construction;Consumer Cyclical;1.0;0.0;1.0;1.0;0.1625255507608449;2.0;2.0;0.15926236378876782;1.0;1.0;0.1894826657086402;2.0;2.0;0.1981966530890198;1.0;1.0;0.19391053628799737;2.0;2.0;0.19501365810959692;;;;;;;;;;;;;2.0;2.0;0.19854609693724964;;;24.296937524682114
ICE;United States;Financial Data & Stock Exchanges;Financial Services;-1.0;-2.0;1.0;1.0;0.18650919827390416;2.0;2.0;0.02953897736797989;1.0;1.0;0.1472336985809233;2.0;2.0;0.1841255028563502;1.0;1.0;0.18228959002663592;2.0;2.0;0.18208498714678822;2.0;-2.0;0.014987341772151885;1.0;1.0;-0.12398417418386987;;;;1.0;1.0;0.1436727944752456;0.0;2.0;0.19710989242395566;1.0;1.0;24.143567808740066
SW;Ireland;Packaging & Containers;Consumer Cyclical;1.0;-2.0;1.0;1.0;0.17074721780604135;2.0;-2.0;0.18595138306789608;1.0;1.0;0.19580564038081552;2.0;2.0;0.19804027895128443;1.0;1.0;0.19564379273416263;2.0;2.0;0.1961928333911854;2.0;-2.0;0.19230379746835444;1.0;-1.0;0.19989868052793155;1.0;0.0;0.1999062479252229;1.0;1.0;0.19691664234996598;2.0;2.0;0.19957228505480407;1.0;1.0;24.13097879965766
